"gene","log2FoldChange","padj","TP1","TP2","TP3","TP4","TP5","TP6","TP7","TP8","TP9","TP10","TP11","TP12","TP13","TP14","TP15","TP16","TP17","TP18","TP19","TP20","TP21","TP22","TP23","TP24","TP25","TP26","TP27","TP28","TP29","TP30","TP31","TP32","TP33","TP34","TP35","TP36","TP37","TP38","TP39","TP40","TP41","TP42","TP43","TP44","TP45","TP46","TP47","TP48","TP49","TP50","TP51","TP52","TP53","TP54","TP55","TP56","TP57","TP58","TP59","TP60","TP61","TP62","TP63","TP64","TP65","TP66","NT1","NT2","NT3","NT4","NT5","NT6","NT7","NT8","NT9","NT10","NT11","NT12","NT13","NT14","NT15","NT16","NT17","NT18","NT19","NT20","NT21","NT22","NT23","NT24","NT25","NTa26","NTa27","NTa28","NTa29","NTa30","NTa31","NTa32","NTa33","NTa34","NTa35","NTa36","NTa37","NTa38","NTa39","NTa40","NTa41","NTa42","NTa43","NTa44","NTa45","NTa46","NTa47","NTa48","NTa49","NTa50","NTa51","NTa52","NTa53"
"UGT3A1",-9.43100693816884,5.32246934639412e-190,0.9,3.3,3.1,0.7,0,1.5,0.8,0,7.3,1.6,0,0.8,0.9,1.7,1.2,0.9,0.9,1.5,7,0,1.6,0,1.9,0,2,49.8,0,2.7,0,5.8,0,0.8,29.7,16.9,1.1,0,3.9,5.1,0,4.7,4.1,0,2.2,0,0,0,16.7,2.5,1.3,1,1.4,1.8,0,0,5.1,0,17,2.3,0,1.7,22.6,1.8,4.5,2.3,1.7,2.3,3959.1,1991.1,3131.2,2987,2539.5,2650.3,5090.2,1803.6,2078.6,4216.7,2343.1,2871.7,6411.1,7687.2,2892.7,7097.5,3154.2,2697,2240,1282.3,2466.8,2249.6,597.3,651.9,3677.3,1888.8,2212.3,1273.7,0,1933.3,487.4,3843.8,333.3,852.8,1430.7,1477.4,1666.2,5520.9,7.2,2002.5,3849,1255.4,4358.5,1320,2686.8,188.9,7197.5,3260.9,4246.6,953.1,3163,1714.7,2040.6
"CDHR5",-9.24371250425154,1.08378334612194e-189,2.7,8.7,3.1,12.7,2.5,1.5,2.5,3.5,20.2,3.3,6.5,2.4,4.3,2.6,3.6,4.4,0,1.5,25.9,0,2.4,6.5,6.6,2,4.1,2.1,5.2,6.4,5.4,7.4,3.5,6.1,0,0.8,3.3,2.3,0,5.1,2.3,0,6.5,3.7,9.9,0,9.3,3.1,3.5,4.3,1.9,7.9,29.8,2.3,8.4,2.6,0.8,0.7,5.7,1.2,5.5,2.6,22.6,5.3,11.9,4.6,6.7,8.1,8054.5,80.1,1230.1,1741.9,362.4,633.9,7146.8,804.1,309.8,5476.6,709.8,280.7,6695.7,6834.3,5512.6,14029.1,18.8,300.5,265.5,577.6,290.3,93.1,257.9,527,73.2,11223.9,4893.8,1102,0,4360.4,270.9,7683.4,875,3954.2,3106.3,1053.3,2298.4,11605.8,9,1853.7,14769.6,4463.3,776,539.4,7854.4,320.3,6700.3,4994.8,7183.2,1541.7,3802.4,1499.3,207.2
"KLK4",9.29882574972497,9.06100059487451e-185,196.4,14231.1,7231.6,982.7,143.5,3949.6,43.4,2481.4,7338.2,909.1,565.4,12624.7,2457.6,685.2,16867.3,5714.1,7780.9,4183.3,14591,177.2,1206,2133.5,9088.1,994.9,1007.1,10481.3,15858.6,1540,1128.7,620,10648.6,3999,3924.4,4.8,2808.6,3374.8,1787.9,458.2,469.7,20099.9,474.7,1711.8,438.1,6734.6,7475.2,9376.5,7325.3,466.7,20349.8,3329.2,3258.9,1489.8,773.8,872.3,3616.4,800.7,14797.4,2497.5,293.7,24077.6,7699.3,2667.7,12265.4,3695,1527.3,30469.5,13.8,17.6,14.8,14.3,24.9,10.5,21.1,0.5,12.7,7.8,7.2,25.6,2.2,14.5,8,3.5,4.5,4,0,16.7,3.7,7.3,1.6,2.4,8.9,8.4,0,6.6,0,2.1,1.5,6.2,7.6,10.4,1,0,2.3,0,1.8,24.5,9.3,38.3,0,1.4,33,1.2,23.7,2.3,7.3,1.1,0,4.1,31.1
"IRX1",-8.47127096844235,1.09088917509507e-181,5.4,2.2,7.2,4.5,0,4.5,1.6,0.9,0.8,0.8,0,12.2,0.9,0,0,0.9,2.7,7.7,0,1.2,0,0,7.6,3.3,8.1,16.4,2.6,10.9,0.8,0,0,2.3,8.5,11.3,0,4.6,1.3,10.3,0,0,6.5,3.7,2.2,4.5,2.3,0,3.5,1.2,1.3,4,0.7,5.3,0,0,0.8,0.7,7.1,3.5,17.9,1.7,1.9,1.8,0,0,1.7,0,1000.6,1888.8,2389.3,992.5,1628.5,364.6,608.4,1565.2,1873.2,1182.3,1900.6,68.4,942.3,311.4,1575.6,529.9,1512.3,2267.9,2875.5,898.4,1399.1,2487.2,1378.9,1637.9,1707.2,408.8,1492.5,1910.6,0,1642,2880.4,389.2,1053,904.8,705.7,109.9,1704.4,516.9,34,297.7,929.1,133.9,217.9,3198.8,255.5,4332.9,344.4,445.9,99.6,1196.4,854.8,361.6,124.3
"SLC39A5",-9.05347781059894,2.72895614301696e-176,1.8,14.2,4.1,2.2,19.2,9.8,6.6,10.4,31.5,2.5,0,8.1,3.4,2.6,7.2,5.3,3.6,7.7,9,2.5,4.8,1.9,0,2,5.1,9.3,7.8,3.6,5.4,3.3,3.5,3,2.1,0.8,0,5.7,5.2,6.6,2.3,4.7,4.7,2.2,5.5,2.3,8.2,2.1,2.8,9.2,24.7,12.9,2.8,7,7.6,6.9,5.1,0,9.2,2.3,11.7,3.5,26.4,4.4,5.9,4.6,9.2,15,6831.5,24.3,1428.9,2052.3,310,2049.4,10514.5,920.9,307.4,7406.3,795.3,157.6,7059,7948.6,5524.9,23470.9,8.4,254.5,203,788,444.4,39.8,273.1,357.3,48.4,10926.2,4994.4,625.1,0,2087.4,125.6,5387.9,571.9,1535.1,1553.1,709,2020.5,6520.8,19.7,2681.6,13842.9,3658.3,887.9,199.7,11006.9,157.2,10185,5861.1,9111.6,980,4029.1,1046.3,1087.6
"UGT2A3",-9.69538010879727,8.04496973705514e-173,0,1.1,2.1,0,0,3.8,4.1,0,21,4.9,0,2.4,11.1,0.9,0,0,0.9,0,7,1.2,0,0.9,0.9,0,0,10,0,1.8,0,0.8,0,0,4.2,16.9,1.1,0,0,2.2,0,0,4.1,0,0,0,0,1,2.8,2.5,0.6,6,0,2.9,0,0,11.8,0.7,4.3,3.5,10.1,1.7,13.2,1.8,0,1.1,0.8,2.3,3242.2,422.1,1998,2659.5,1529.6,1039,7877.6,671.2,975.9,2422,572.5,2814.6,4706.8,5857.9,2436.8,14011.8,710.8,694.9,1660.8,585.5,1896.7,446.9,747.3,696.7,409.4,1878.3,3676.5,686.6,0,626.8,227,4247.5,132.6,1002.6,1324.6,3036.4,1323.5,4778.8,3.6,1292.9,1476.3,904.1,3492.7,404.9,1568,221.7,8004.6,3260.9,1674.9,616.7,986.3,1619.2,4982.4
"ACSM2A",-10.2730282244138,3.15690824843572e-169,0,13.1,5.1,1.5,1.7,16.6,1.6,0,26.7,5.7,0.9,8.1,3.4,16.5,0,1.8,2.7,4.6,28.9,0,10.5,5.6,10.4,0,1,5,4.3,1.8,0,0.8,0,0.8,3.2,1.6,1.1,1.1,1.3,19.1,0.8,0,14.2,0,0,0,5.8,1,0.7,8,1.9,16.9,0.7,12.9,3.4,0.9,0.8,2,35.5,3.5,15.6,16.6,52.8,2.6,4.5,13.7,19.2,58.9,17261.9,247.5,2040.1,5718,1012.6,4862.5,20149.8,2896.7,542.6,13149.7,1313.6,11604.5,13104.6,21022.1,17384,41184.9,43.4,1187.9,658.6,2394.6,636.7,232.9,644.2,764.3,165.6,16691.2,17117.7,1573.8,0,6487.9,647.8,12320,606,4478.4,8516.7,8413,6819.9,27112.1,3.6,9855.6,26703.2,7069.7,3971.3,845.8,36869.5,436.5,36633.2,24666.6,26833.6,3466.9,14100.9,5249.6,6960.8
"SLC9A3",-8.50003543215655,2.53527264599445e-166,1.8,13.1,6.2,8.2,8.3,5.3,22.9,5.2,6.5,5.7,3.7,25.2,6.9,39.8,4.8,35.4,1.8,10.7,8,11.2,6.4,1.9,18,24.6,2,8.5,4.3,39.2,10.9,9.1,39.8,0.8,10.6,3.2,4.4,3.4,2.6,11,6.1,20.5,4.1,7.4,283.3,0,37.3,8.2,9.8,6.7,18.2,4,7.1,22.2,4.2,8.6,9.3,2.7,6.4,44.4,7.8,2.6,13.2,11.4,3,3.4,9.2,11.6,7869.3,32631.4,13735.8,1929.8,6501.8,1566.3,4249,9892.6,16610.6,7657.4,12095.5,69.6,6604.1,3015.4,6910.2,3353,5921.5,14304.4,10994.3,7891,5694.6,17219.3,5367.1,1328.3,19707.7,2427.6,5334.9,6208.7,0,2570.7,6599.3,1831.4,700.7,863.2,1158.8,311.2,5887.8,4030.1,25.1,371.1,4154,354.7,801,12278.1,1219.8,2136.5,4418.8,1598.7,1058,393.6,1249.3,123.9,82.9
"ACSM2B",-10.2364407354865,1.83907071270506e-157,0.9,18.5,13.4,0.7,11.7,5.3,4.9,0,47.7,3.3,0,6.5,5.1,11.3,1.2,4.4,6.3,1.5,34.8,3.7,4,2.8,14.2,0,15.2,0,0.9,8.2,0.8,0.8,0,0.8,1.1,8.1,0,1.1,11.8,12.5,0.8,1.6,24.3,0,0,0,7,1,0.7,1.8,1.9,23.8,0.7,2.9,7.6,8.6,1.7,3.4,27,7,15.6,7.9,66,1.8,11.9,5.7,26.7,54.3,23479.8,119.3,1466.2,7500.7,1022.7,7442.3,26214.9,3179.8,446,23310.6,1904.8,6898.2,17588,25871,12045.7,56167.4,25.3,656.3,695.1,2171.1,731,177.9,576.3,521.1,97.4,18779.1,18072.2,663.1,0,6078.5,330,13300.2,636.3,4599,7409,6658.4,5641.2,35520.8,0,11020,29448.5,5303.1,2578.3,569.9,39752.1,180.7,33258.3,24598.5,29458.1,2120.3,17885.1,7175.5,13269
"FUT6",-10.0654028845575,4.44165229631638e-157,1.8,5.5,2.1,0.7,0,3,1.6,0.9,20.2,0.8,0,0.8,0.9,0.9,0,0.9,0.9,0,4,0,0,0,0,1.3,3,0.7,0,2.7,0,0.8,0,0,0,0,0,1.1,2.6,8.1,0,0,10.1,0,1.1,2.3,2.3,0,0,1.2,0.6,4,0.7,0,1.7,0,0.8,0,9.2,0,1.6,3.5,9.4,0,3,1.1,4.2,8.1,3229.8,125.5,496,1098.7,270.3,2179.2,3346.6,828.9,165.4,4465.8,419,977.6,3208,3698.4,2635.1,5462.1,35,257.8,361.6,667.9,127.9,105.2,217.9,366.9,60.5,6442.1,3147.3,398.4,0,1492.2,322.4,3163.3,140.1,1127.4,1466.4,831.6,1401,6817.3,0,3909.2,5492.9,963.3,851.1,176.1,4054.9,61,8245.7,3837.3,8647.1,530.4,7854.2,700.9,4909.8
