"drug","gene"
"DB00117","HDC"
"DB00114","HDC"
"DB00142","GLS2"
"DB02340","F13A1"
"DB01839","F13A1"
"DB03144","NOS2"
"DB03271","NOS2"
"DB02462","NOS2"
"DB03100","NOS2"
"DB02539","NOS2"
"DB02644","NOS2"
"DB02692","NOS2"
"DB02533","NOS2"
"DB07011","NOS2"
"DB07029","NOS2"
"DB07306","NOS2"
"DB03014","NOS2"
"DB02044","NOS2"
"DB02207","NOS2"
"DB02234","NOS2"
"DB06879","NOS2"
"DB06916","NOS2"
"DB07002","NOS2"
"DB07003","NOS2"
"DB07007","NOS2"
"DB07008","NOS2"
"DB01686","NOS2"
"DB00155","NOS2"
"DB01110","NOS2"
"DB01234","NOS2"
"DB04223","NOS2"
"DB01835","NOS2"
"DB04534","NOS2"
"DB07001","NOS2"
"DB04400","NOS2"
"DB08750","NOS2"
"DB02335","NOS2"
"DB00125","NOS2"
"DB03910","NOS2"
"DB07318","NOS2"
"DB03449","NOS2"
"DB01997","NOS2"
"DB07389","NOS2"
"DB08214","NOS2"
"DB03953","NOS2"
"DB08814","NOS2"
"DB07405","NOS2"
"DB07388","NOS2"
"DB04216","HSD17B2"
"DB01852","HSD17B2"
"DB00157","HSD17B2"
"DB01696","PYGL"
"DB00131","PYGL"
"DB02089","PYGL"
"DB02320","PYGL"
"DB03067","PYGL"
"DB07807","PYGL"
"DB07396","PYGL"
"DB07968","PYGL"
"DB08322","PYGL"
"DB02379","PYGL"
"DB04545","PYGL"
"DB03288","PYGL"
"DB03744","PYGL"
"DB07395","PYGL"
"DB07315","PYGL"
"DB06986","PYGL"
"DB04044","PYGL"
"DB00114","PYGL"
"DB04522","PYGL"
"DB03383","PYGL"
"DB00157","NNT"
"DB01763","NNT"
"DB03461","NNT"
"DB01907","ADH5"
"DB03704","ADH5"
"DB00157","ADH5"
"DB04153","ADH5"
"DB00116","AMT"
"DB04789","AMT"
"DB00157","AMT"
"DB00157","IDH3A"
"DB00617","CACNA1I"
"DB04841","CACNA1I"
"DB00568","CACNA1I"
"DB00909","CACNA1I"
"DB00661","CACNA1I"
"DB01388","CACNA1I"
"DB05511","ADORA1"
"DB01303","ADORA1"
"DB08770","ADORA1"
"DB00201","ADORA1"
"DB00277","ADORA1"
"DB04853","ADORA1"
"DB00651","ADORA1"
"DB07954","ADORA1"
"DB04954","ADORA1"
"DB00996","ADORA1"
"DB00640","ADORA1"
"DB04932","ADORA1"
"DB05360","ADORA1"
"DB01412","ADORA1"
"DB00131","ADORA1"
"DB01223","ADORA1"
"DB00806","ADORA1"
"DB06213","ADORA1"
"DB07528","ABL1"
"DB08584","ABL1"
"DB02567","ABL1"
"DB03496","ABL1"
"DB00530","ABL1"
"DB08052","ABL1"
"DB07274","ABL1"
"DB07831","ABL1"
"DB08043","ABL1"
"DB06999","ABL1"
"DB00643","ABL1"
"DB08583","ABL1"
"DB08300","ABL1"
"DB08054","ABL1"
"DB04868","ABL1"
"DB00398","ABL1"
"DB08916","ABL1"
"DB08094","ABL1"
"DB07159","ABL1"
"DB02833","ABL1"
"DB03878","ABL1"
"DB07138","ABL1"
"DB00317","ABL1"
"DB06616","ABL1"
"DB08350","ABL1"
"DB08067","ABL1"
"DB01645","ABL1"
"DB08339","ABL1"
"DB08901","ABL1"
"DB08053","ABL1"
"DB00171","ABL1"
"DB04849","ABL1"
"DB00619","ABL1"
"DB06589","ABL1"
"DB07335","ABL1"
"DB08877","ABL1"
"DB01254","ABL1"
"DB05424","ABL1"
"DB08183","ABL1"
"DB01268","ABL1"
"DB08865","ABL1"
"DB03044","ABL1"
"DB05294","ABL1"
"DB08231","ABL1"
"DB00895","FCER1A"
"DB00043","FCER1A"
"DB02944","FCER1A"
"DB00100","F8"
"DB00055","F8"
"DB00328","PTGS1"
"DB01600","PTGS1"
"DB01892","PTGS1"
"DB00500","PTGS1"
"DB00482","PTGS1"
"DB00573","PTGS1"
"DB00870","PTGS1"
"DB00991","PTGS1"
"DB00244","PTGS1"
"DB03667","PTGS1"
"DB01837","PTGS1"
"DB00749","PTGS1"
"DB01397","PTGS1"
"DB02379","PTGS1"
"DB01283","PTGS1"
"DB01399","PTGS1"
"DB02773","PTGS1"
"DB02944","PTGS1"
"DB00154","PTGS1"
"DB00712","PTGS1"
"DB00963","PTGS1"
"DB00711","PTGS1"
"DB05318","PTGS1"
"DB00795","PTGS1"
"DB00461","PTGS1"
"DB01050","PTGS1"
"DB00814","PTGS1"
"DB00469","PTGS1"
"DB00554","PTGS1"
"DB07983","PTGS1"
"DB00936","PTGS1"
"DB00586","PTGS1"
"DB01435","PTGS1"
"DB00159","PTGS1"
"DB00939","PTGS1"
"DB00533","PTGS1"
"DB00316","PTGS1"
"DB04557","PTGS1"
"DB02266","PTGS1"
"DB01009","PTGS1"
"DB01294","PTGS1"
"DB02110","PTGS1"
"DB01398","PTGS1"
"DB00465","PTGS1"
"DB05095","PTGS1"
"DB00605","PTGS1"
"DB03752","PTGS1"
"DB01401","PTGS1"
"DB08814","PTGS1"
"DB03753","PTGS1"
"DB04552","PTGS1"
"DB00812","PTGS1"
"DB00350","PTGS1"
"DB02047","PTGS1"
"DB06802","PTGS1"
"DB02709","PTGS1"
"DB00821","PTGS1"
