gene,log2FoldChange
PLCD4,-19.17654969
EPM2A,-17.24514122
SMTN,-16.39595916
SLMAP,-15.89689065
ITPKB,-15.65221756
PPP1R12A,-15.60628979
LPP,-15.2653254
MAT2A,-15.11982635
CSRP1,-15.11409978
NT5DC3,-14.97404691
RP11-6O2.3,-14.95679023
CRY2,-14.8941564
SVIL,-14.81719906
PKD1,-14.81615072
PPP1R12B,-14.81057863
STARD9,-14.80388819
LMOD3,-14.78621425
CBX7,-14.76387243
ABL1,-14.7457345
RYR3,-14.70455654
LSM11,-14.68370411
TSPYL2,-14.57230451
GPRASP1,-14.48721102
RP11-1379J22.2,-14.46514347
SRF,-14.44287318
CALCOCO1,-14.38255967
MEF2D,-14.25894104
pk,-14.25585459
FNBP1,-14.25232885
NACC2,-14.2336721
TLN1,-14.20353865
PPAP2B,-14.19584445
KANK2,-14.17913969
MIR143HG,-14.13501778
MYOM1,-14.12593851
GPR17,-14.10996648
DSTN,-14.07672408
FYCO1,-14.07248127
ACACB,-13.93737996
CFL2,-13.92820162
TNS2,-13.91489109
HDAC4,-13.8766254
TNS1,-13.85237094
PJA2,-13.8289821
STAT5B,-13.75838486
RAP1A,-13.69678301
SH3BGR,-13.68376765
LINC00641,-13.6215361
KLHL41,-13.60072476
ZHX3,-13.56403039
FAM129A,-13.53464746
RP11-1069G10.1,-13.49243979
MBNL1-AS1,-13.47988306
HLF,-13.46560925
TPM1,-13.44512672
DIXDC1,-13.44144016
FILIP1,-13.38524852
PYGM,-13.36721823
TCF21,-13.35450158
PCSK7,-13.31169315
ADAM33,-13.26888742
DMPK,-13.22111944
RASSF3,-13.10186256
SLC25A25,-13.08312405
CLEC3B,-12.97866837
LIMS2,-12.97469081
FBXL22,-12.92291543
PALLD,-12.89138679
DMGDH,-12.8818143
ITPR1,-12.84417522
SYNM,-12.82285454
ADAMTS9-AS2,-12.78637017
PRKAG2,-12.78197122
CSPG4P12,-12.75578132
KCNMA1,-12.72106795
KLHL42,-12.70901896
CCDC69,-12.70519276
RP11-6O2.4,-12.69549153
FAM107A,-12.69169022
CACNA1H,-12.67213151
FAXDC2,-12.65951266
PTGES3L,-12.53040671
RP11-359E3.4,-12.52330658
SOBP,-12.51935095
ACTA2-AS1,-12.50795121
P2RY14,-12.49638776
RAB9B,-12.49494903
RCAN2,-12.48684298
NKAPL,-12.46406311
ADARB1,-12.43931037
CACNB2,-12.42173304
RP11-394O4.5,-12.41965747
RAB23,-12.40216135
TEAD1,-12.37774297
FLNA,-12.37594922
LPPR4,-12.35870831
CSRNP1,-12.35739208
SLC2A4,-12.34953232
MICU3,-12.3390495
CEP85L,-12.326713
POPDC2,-12.3130821
SORBS1,-12.30814758
BHMT2,-12.30697304
MYLK,-12.3030719
VCL,-12.27363637
SYNPO2,-12.26813641
USP12,-12.25891127
ITGA8,-12.2583072
ZNF25,-12.24428481
CREBRF,-12.24272583
SCARA5,-12.19973403
ZBTB4,-12.19518483
GLP2R,-12.15502715
FOXN3,-12.15444089
MTURN,-12.14658698
ILK,-12.12789334
CRTC3,-12.12403765
ZEB1,-12.09058091
LINC00891,-12.08842546
CPED1,-12.07866378
PSD,-12.07542102
PDE1C,-12.06961231
ROCK2,-12.06754234
TCEAL1,-11.96276978
TACR2,-11.9529793
SVEP1,-11.93885117
PDK4,-11.92353026
GSN,-11.91495832
STON1,-11.89860093
PDE4D,-11.88481189
RBPMS2,-11.88247894
BCL2L2,-11.8818322
CFD,-11.86691049
ARHGEF9,-11.8612793
KCNB1,-11.82639609
TARID,-11.8156076
MYOCD,-11.80578755
TOR1AIP1,-11.77731981
RP11-7F17.8,-11.76902786
KLHL10,-11.76546067
RAI2,-11.75611282
ZNF106,-11.73558852
LTBP4,-11.72521203
KLF9,-11.71484393
PER2,-11.71029354
SLC25A4,-11.70340777
AKAP6,-11.69764622
CALD1,-11.69070924
C1QTNF7,-11.69008753
PTCH1,-11.65797488
SDPR,-11.63608291
MXRA7,-11.63356216
ZBTB47,-11.63330028
FBXO31,-11.62690127
CSGALNACT1,-11.62596428
PRELP,-11.62169996
REV3L,-11.61971228
ADAMTS1,-11.61800765
FOXF1,-11.61270867
MLXIP,-11.60279128
FHL1,-11.59817646
PIP5K1C,-11.57772783
PLCL1,-11.55700502
CGNL1,-11.55660884
GNAL,-11.54173853
ITGB1BP2,-11.52407657
DMD,-11.52392791
KLF2,-11.51404316
PNPLA7,-11.50466429
PTGS1,-11.49527285
MYL9,-11.49267986
SORBS2,-11.49001813
PPP1R14A,-11.48548118
PARVA,-11.46733346
ITIH5,-11.46629753
SYNE1,-11.46505312
SPARCL1,-11.46133883
HECTD2,-11.46015969
RHOB,-11.42851347
FBXO30,-11.41656831
MEIS1,-11.41466624
NEXN,-11.39274829
FLNC,-11.36412021
PDE2A,-11.35243728
FERMT2,-11.34538522
KIAA1644,-11.33673916
AOX1,-11.3358295
LMOD1,-11.32779604
PRDM6,-11.32765423
GALNT15,-11.32496579
RP3-414A15.12,-11.32136987
ALDH1B1,-11.29944464
RNF150,-11.28924114
LGI4,-11.27741013
ADAMTSL3,-11.27616922
ARHGEF25,-11.27300353
CTC-510F12.2,-11.26090792
TMOD4,-11.25987105
RNF112,-11.23508304
ZBTB16,-11.23303814
AF131217.1,-11.21215668
C14orf28,-11.20450713
MBD5,-11.18799819
IGSF9B,-11.16481492
KCNMB1,-11.1566562
HERC1,-11.15328588
SH3D19,-11.15110331
MAP1A,-11.13520321
ZCCHC24,-11.13061076
WWTR1,-11.11694454
LINC00950,-11.10982269
RBFOX3,-11.10216019
SPEG,-11.10154086
PGM5,-11.09133642
MYZAP,-11.0882522
DTNA,-11.07589811
CACNA1C,-11.06846521
KCNAB1,-11.06562657
ANTXR2,-11.06077269
KLHDC1,-11.05787712
HIPK3,-11.05079402
DCUN1D3,-11.04236519
MAP1B,-11.04088424
GPR135,-11.03507391
RBPMS,-11.03350123
LRRC37A17P,-11.03129071
PRICKLE2,-11.02974493
BAG2,-11.02958696
AOC3,-11.02171251
LINC00865,-11.01831785
GPR146,-11.0143706
NEGR1,-11.01241172
MSRB3,-11.01116627
CIPC,-11.00749981
TMOD1,-11.00474768
NR4A1,-11.00232733
ADD1,-10.99726266
ZFP36,-10.98641345
PID1,-10.97664156
RP11-613D13.8,-10.95741465
LAMA2,-10.94556482
PER1,-10.94495723
MRVI1,-10.93372024
EZH1,-10.93320451
PRUNE2,-10.93061121
EGR1,-10.92668369
FENDRR,-10.92636201
CDC42BPA,-10.91549361
PTBP2,-10.90718838
MIR4697HG,-10.90660992
P2RX1,-10.89633098
FBXL7,-10.88812053
PAMR1,-10.87381457
ARHGAP20,-10.85309066
SVILP1,-10.85063425
F10,-10.84801302
RP11-531A24.5,-10.82479554
NPAS4,-10.81307722
DNAJB5,-10.80821025
NCS1,-10.79875884
RP11-875O11.1,-10.79567448
NPR2,-10.7931648
DUSP3,-10.78946973
PPP3CB,-10.78754863
RUSC2,-10.7872108
PGR,-10.78332859
CTIF,-10.76235141
RASL12,-10.75395714
MPDZ,-10.75094337
CCDC136,-10.74301501
PKMP3,-10.74268108
MYH11,-10.74096272
RP11-679B19.1,-10.73523139
CLIP3,-10.70925974
AC025165.8,-10.70791243
ADAMTS9-AS1,-10.68624352
THRA,-10.68033212
JAM3,-10.67700816
CDKL1,-10.65902243
CC2D2A,-10.63911283
ABCA8,-10.63333788
HAND2-AS1,-10.61737745
ZNF280D,-10.61301771
TGFB1I1,-10.60553636
MAMDC2,-10.60328468
MOAP1,-10.6002039
FAM180B,-10.58876869
AQP1,-10.58657036
MPZ,-10.5779249
ASB2,-10.57624979
SNX9,-10.56895803
DNAJC27,-10.56704674
FGL2,-10.56119981
DNAJB4,-10.54978229
TTBK2,-10.54850672
RNF180,-10.53093088
IKZF4,-10.51400384
MBNL1,-10.50823838
C20orf166-AS1,-10.50560116
GNG7,-10.50240582
ADGRD1,-10.49764773
SBDS,-10.49010175
PDE5A,-10.47315545
SPOP,-10.46129806
VIPR2,-10.45681205
SOX17,-10.4462224
NTRK3,-10.4399611
TACC2,-10.43728462
PARK2,-10.43612501
KANSL1L,-10.43474457
