"","gene0","gene1","gene2","gene3","gene4","gene5","gene6","gene7","gene8","gene9"
"ACC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因","hsa-mir-25","RAPGEF4","RASGRF1","NR4A2","DHRS2","CD163","hsa-mir-217","PHOX2A","TTR","MET"
"log2fc","15.6","-2.2","5.1","-3.5","6","-2.2","12","-8.4","-3.3","2.7"
"n(high)","51","40","13","50","34","19","19",NA,NA,"35"
"n(low)","28","39","66","29","45","60","60",NA,NA,"44"
"BLCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因1","GJB6","NLRP2","PDZK1IP1","INHBA","CDC6","TGFBR3","FGF10","CLIC3","FBLN5","SPC24"
"log2fc1","3.6","2.5","3.6","2.9","2.8","-2.4","-3.9","3.9","-3","2.6"
"n(high)1","253","276","158","214","41","258","229","48","237","126"
"n(low)1","149","126","244","188","361","144","173","354","165","276"
"BRCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因2","AGR2","CNTFR","CCND1","MMRN2","SPINT2","MCAM","GABARAPL1","LIFR","CDC6","SOD3"
"log2fc2","4","-3.6","2.1","-2.4","2.1","-2.4","-2.4","-2.9","3.9","-3"
"n(high)2","134","755","700","935","448","294","807","448","600","117"
"n(low)2","936","315","370","135","622","776","263","622","470","953"
"CESC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因3","CBX7","SELP","ITIH3","ZNF516","MCAM","CCR3","ACTG2","GABBR1","SERPING1","PMP22"
"log2fc3","-2.5","-3.1","-4.5","-3","-2.2","3.7","-5.4","-3.5","-2","-3.3"
"n(high)3","158","271","215","236","240","202","260","213","179","274"
"n(low)3","146","33","89","68","64","102","44","91","125","30"
"COAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因4","SV2A","PMP22","SCEL","CDC6","CDKN2A","hsa-mir-374a","CBX7","RNF43","JAM3","RND2"
"log2fc4","-2.4","-2.3","2.6","3.5","2.9","14.8","-3.3","3.9","-3","-4.2"
"n(high)4","370","51","88","242","215","338","106","393","301","88"
"n(low)4","68","387","350","196","223","100","332","45","137","350"
"DLBC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因5","LIPF","GYPC","SNAI2","MEOX2","GYG1","ROBO1","HK2","MPP1","FZD4","MARCKSL1"
"log2fc5","-6.1","-3.5","5","4.1","-3.1","3.4","-3","-2.7","3.4","2.2"
"n(high)5",NA,"23","5","11","26","11","37","29","6","39"
"n(low)5",NA,"24","42","36","21","36","10","18","41","8"
"ESCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因6","JAM3","CR2","KRT17","CREB3L1","CHRNA1","CDC6","BOC","FANCI","PTP4A3","CBX7"
"log2fc6","-2.4","3.2","3.9","3.2","2.5","3.1","-2.7","2.3","-2","-3"
"n(high)6","115","135","137","145","87","77","62","135","22","34"
"n(low)6","46","26","24","16","74","84","99","26","139","127"
"KICH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因7","GPD1L","ANKS4B","KCNJ10","KIFC3","CDH1","CLDN16","FOXN3","NPR1","NTN1","CKM"
"log2fc7","2.3","-8.2","-3.6","-2.2","2.1","-5.5","2","-3","4.2","-4.2"
"n(high)7","34","11","23","39","50","46","58","58","55","58"
"n(low)7","30","53","41","25","14","18","6","6","9","6"
"KIRC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因8","SLC12A3","SLC6A3","PCK1","VWF","SLC12A1","CTSS","CALB1","CCND1","ANXA4","AVP"
"log2fc8","-4.9","7.2","-2.7","3.5","-7.2","2.5","-7.3","2.9","2.2","-3.2"
"n(high)8","355","295","335","452","460","448","176","357","334",NA
"n(low)8","157","217","177","60","52","64","336","155","178",NA
"KIRP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因9","IGFBP5","CYP1A2","RAMP3","RAB6B","HAND2","CDH4","LY86","hsa-let-7i","NR2F1","NEUROG1"
"log2fc9","-3.2","-2.9","-2.8","2.1","-3.4","2.9","2.9","2.3","-3","-2"
"n(high)9","54",NA,"68","183",NA,"67","158","49","76",NA
"n(low)9","233",NA,"219","104",NA,"220","129","238","211",NA
"LGG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因10","NTN1","NCAN","VSIG4","LRIG1","RPE65","MAP1LC3A","ILK","hsa-mir-27b","KLC1","MYOD1"
"log2fc10","2.5","2.1","2.6","2.3","3","-2.1","-2.8","12.8","-3","3.9"
"n(high)10","216","192","99","342","365","251","113","270","424","268"
"n(low)10","288","312","405","162","139","253","391","234","80","236"
"LIHC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因11","hsa-mir-375","CKB","TNFSF14","CCR8","ROBO1","VWF","CDKN2A","CYP2C8","HGFAC","CXCL9"
"log2fc11","2.5","2.3","-2.9","2.6","3.6","2.6","5.1","-2.2","-2.1","2.6"
"n(high)11","38","62","123","166","134","230","222","186","150","91"
"n(low)11","327","303","242","199","231","135","143","179","215","274"
"LUAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因12","CLDN5","SORBS1","SPINT2","NOTCH4","TGFBR3","ERO1A","ROBO4","PDGFRA","EEF1G","SLIT2"
"log2fc12","-4","-2.7","2","-3","-3.2","2.2","-2.7","-2.3","-10.5","-2.9"
"n(high)12","151","126","134","271","200","140","365","395","360","52"
"n(low)12","347","372","364","227","298","358","133","103","138","446"
"LUSC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因13","PTGFRN","ITGA8","SLC39A8","AOC3","CLEC14A","NECTIN1","CCT5","NPNT","RIPK4","ROBO4"
"log2fc13","3","-4.1","-2.5","-4.3","-2.8","5.3","2.4","-2","2.1","-3.5"
"n(high)13","386","84","78","142","104","419","54","284","392","350"
"n(low)13","83","385","391","327","365","50","415","185","77","119"
"OV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因14","BCKDHA","AGRN","NRXN1","WIPF3","DGKD","STBD1","PPM1K","GABBR1","CXADR","PLA2R1"
"log2fc14","-2.4","4.3","-3.7","-4.3","-2.3","-2.2","-3","-3.4","5.2","-3.5"
"n(high)14","60","308","119","228","242","39","162","39","54","122"
"n(low)14","309","61","250","141","127","330","207","330","315","247"
"PAAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因15","CRISP3","CD74","PCSK2","HLA-A","ACTG2","IGFBP7","MUC3A","GP2","PPY","B2M"
"log2fc15","3.8","2.8","2.2","2.8","3.4","2","3.6","-5.3","3.8","2.1"
"n(high)15","156","159","20","99","160","93","87","160","99","141"
"n(low)15","21","18","157","78","17","84","90","17","78","36"
"PRAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因16","ITGA5","CCL26","BMP1","KLKB1","COL6A1","COL7A1","GOLM1","MEIS1","AQP2","EEF1G"
"log2fc16","-2.2","-2","-2.4","-2.6","-2.5","-2.9","3.1","-2.7","-5","-9.6"
"n(high)16","338","62","413","195","418","97","269","295","296","423"
"n(low)16","151","427","76","294","71","392","220","194","193","66"
"READ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因17","HRH2","RND2","PMP22","hsa-mir-374a","CEACAM6","RNF43","CBX7","FERMT1","GABARAPL1","CDC6"
"log2fc17","-3.5","-3.9","-2.3","14.9","4.5","4.1","-3","3.9","-2.3","3.6"
"n(high)17","42","32","19","140","75","105","22","39","24","143"
"n(low)17","116","126","139","18","83","53","136","119","134","15"
"SKCM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因18","ADCY1","SLC1A4","SEMA3B","KRT2","NECTIN4","MAZ","CDKN2A","LILRA4","PTGS1","NRP2"
"log2fc18","4.7","2.5","2.6","-8.6","-5.8","2.5","3","3.6","-4.1","3.4"
"n(high)18","356","44","113","262","323","152","228","126","176","147"
"n(low)18","81","393","324","175","114","285","209","311","261","290"
"STAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因19","HLA-DQA1","CDKN2A","INHBA","CDH16","NCR1","CLDN1","GABARAPL1","LAMC2","CLDN7","CKB"
"log2fc19","2.9","3.9","4","4.3","2.3","4.4","-2.5","3","3.4","-3.1"
"n(high)19","47","286","239","44","48","319","275","167","214","328"
"n(low)19","317","78","125","320","316","45","89","197","150","36"
"THCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因20","C1R","GABBR1","hsa-mir-23a","ANXA1","ADGRV1","MUC3A","NPC2","C1S","PLA2R1","EEF1G"
"log2fc20","-2.2","-2.6","3.6","2.1","-3","-2.7","3.4","-2.4","-3.1","-9.9"
"n(high)20","55","57","353","271","195","411","439","85","51","299"
"n(low)20","446","444","148","230","306","90","62","416","450","202"
"THYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因21","HLA-F","DEFA3","PLEK","KLRD1","PTPN6","APP","CCL25","HLA-B","hsa-mir-148a","hsa-mir-99b"
"log2fc21","-2.5","-10.9","-5.2","-5.2","-3.1","3","10.2","-2.9","9.4","8.9"
"n(high)21","17","53","28","17","60","14","13","12","33","25"
"n(low)21","101","65","90","101","58","104","105","106","85","93"
"UCEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因22","ITGA7","ATP1A3","JAM3","CALCR","NECTIN1","PPM1K","ITIH3","DCHS1","SPRR2A","CBX7"
"log2fc22","-3.6","2.4","-3","2.8","2.1","-3","-2.6","-2.7","2.9","-3.6"
"n(high)22","297","70","480","425","445","367","286","135","241","57"
"n(low)22","236","463","53","108","88","166","247","398","292","476"
"UCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"基因23","EPHB3","JAKMIP1","MRGPRF","PPM1K","hsa-mir-374a","hsa-mir-1258","CCT5","MARCKSL1","CBX7","CDC6"
"log2fc23","2.1","2.5","-3.8","-3.1","14.8","4.8","2.1","3.1","-4.5","5"
"n(high)23","36","44","9","7","32","9","16","22","51","21"
"n(low)23","20","12","47","49","24","47","40","34","5","35"
